method,plant_id,actual,rater,estimate,order_id
Version_1,1,9,1,10,12
Version_1,2,8,1,5,9
Version_1,3,9,1,0,13
Version_1,4,17,1,30,26
Version_1,5,12,1,20,18
Version_1,6,44,1,40,42
Version_1,7,23,1,50,34
Version_1,8,13,1,20,20
Version_1,9,14,1,5,23
Version_1,10,28,1,10,35
Version_1,11,42,1,25,41
Version_1,12,9,1,5,14
Version_1,13,7,1,5,6
Version_1,14,10,1,10,16
Version_1,15,33,1,30,36
Version_1,16,100,1,100,50
Version_1,17,100,1,100,51
Version_1,18,100,1,100,52
Version_1,19,100,1,100,53
Version_1,20,100,1,100,54
Version_1,21,100,1,90,55
Version_1,22,100,1,95,56
Version_1,23,100,1,95,57
Version_1,24,100,1,95,58
Version_1,25,100,1,100,59
Version_1,26,13,1,15,21
Version_1,27,14,1,5,24
Version_1,28,12,1,5,19
Version_1,29,9,1,0,15
Version_1,30,16,1,20,25
Version_1,31,33,1,50,37
Version_1,32,22,1,40,33
Version_1,33,100,1,90,60
Version_1,34,11,1,15,17
Version_1,35,88,1,75,47
Version_1,36,100,1,100,61
Version_1,37,50,1,65,43
Version_1,38,100,1,100,62
Version_1,39,8,1,15,10
Version_1,40,37,1,45,39
Version_1,41,17,1,30,27
Version_1,42,4,1,0,2
Version_1,43,8,1,15,11
Version_1,44,34,1,75,38
Version_1,45,77,1,80,45
Version_1,46,77,1,85,46
Version_1,47,100,1,95,63
Version_1,48,100,1,100,64
Version_1,49,100,1,100,65
Version_1,50,100,1,100,66
Version_1,51,7,1,5,7
Version_1,52,7,1,0,8
Version_1,53,4,1,5,3
Version_1,54,17,1,35,28
Version_1,55,100,1,95,67
Version_1,56,97,1,90,48
Version_1,57,17,1,15,29
Version_1,58,100,1,100,68
Version_1,59,100,1,100,69
Version_1,60,3,1,0,1
Version_1,61,6,1,10,5
Version_1,62,20,1,20,31
Version_1,63,13,1,15,22
Version_1,64,19,1,30,30
Version_1,65,100,1,100,70
Version_1,66,100,1,100,71
Version_1,67,100,1,100,72
Version_1,68,100,1,95,73
Version_1,69,100,1,95,74
Version_1,70,100,1,100,75
Version_1,71,56,1,60,44
Version_1,72,20,1,35,32
Version_1,73,97,1,80,49
Version_1,74,5,1,10,4
Version_1,75,39,1,40,40
Version_1,1,9,2,4,12
Version_1,2,8,2,3,9
Version_1,3,9,2,0,13
Version_1,4,17,2,15,26
Version_1,5,12,2,12,18
Version_1,6,44,2,6,42
Version_1,7,23,2,8,34
Version_1,8,13,2,7,20
Version_1,9,14,2,3,23
Version_1,10,28,2,1,35
Version_1,11,42,2,10,41
Version_1,12,9,2,8,14
Version_1,13,7,2,9,6
Version_1,14,10,2,4,16
Version_1,15,33,2,18,36
Version_1,16,100,2,100,50
Version_1,17,100,2,100,51
Version_1,18,100,2,100,52
Version_1,19,100,2,100,53
Version_1,20,100,2,100,54
Version_1,21,100,2,100,55
Version_1,22,100,2,100,56
Version_1,23,100,2,100,57
Version_1,24,100,2,100,58
Version_1,25,100,2,100,59
Version_1,26,13,2,9,21
Version_1,27,14,2,2,24
Version_1,28,12,2,2,19
Version_1,29,9,2,0,15
Version_1,30,16,2,8,25
Version_1,31,33,2,75,37
Version_1,32,22,2,30,33
Version_1,33,100,2,93,60
Version_1,34,11,2,28,17
Version_1,35,88,2,86,47
Version_1,36,100,2,100,61
Version_1,37,50,2,83,43
Version_1,38,100,2,100,62
Version_1,39,8,2,14,10
Version_1,40,37,2,50,39
Version_1,41,17,2,30,27
Version_1,42,4,2,0,2
Version_1,43,8,2,4,11
Version_1,44,34,2,36,38
Version_1,45,77,2,78,45
Version_1,46,77,2,82,46
Version_1,47,100,2,97,63
Version_1,48,100,2,100,64
Version_1,49,100,2,100,65
Version_1,50,100,2,100,66
Version_1,51,7,2,2,7
Version_1,52,7,2,2,8
Version_1,53,4,2,2,3
Version_1,54,17,2,40,28
Version_1,55,100,2,100,67
Version_1,56,97,2,100,48
Version_1,57,17,2,39,29
Version_1,58,100,2,100,68
Version_1,59,100,2,90,69
Version_1,60,3,2,3,1
Version_1,61,6,2,2,5
Version_1,62,20,2,16,31
Version_1,63,13,2,9,22
Version_1,64,19,2,17,30
Version_1,65,100,2,100,70
Version_1,66,100,2,100,71
Version_1,67,100,2,100,72
Version_1,68,100,2,100,73
Version_1,69,100,2,100,74
Version_1,70,100,2,100,75
Version_1,71,56,2,70,44
Version_1,72,20,2,60,32
Version_1,73,97,2,94,49
Version_1,74,5,2,1,4
Version_1,75,39,2,36,40
Version_1,1,9,3,0,12
Version_1,2,8,3,10,9
Version_1,3,9,3,0,13
Version_1,4,17,3,10,26
Version_1,5,12,3,10,18
Version_1,6,44,3,10,42
Version_1,7,23,3,10,34
Version_1,8,13,3,10,20
Version_1,9,14,3,0,23
Version_1,10,28,3,0,35
Version_1,11,42,3,10,41
Version_1,12,9,3,0,14
Version_1,13,7,3,0,6
Version_1,14,10,3,10,16
Version_1,15,33,3,20,36
Version_1,16,100,3,100,50
Version_1,17,100,3,100,51
Version_1,18,100,3,100,52
Version_1,19,100,3,90,53
Version_1,20,100,3,100,54
Version_1,21,100,3,100,55
Version_1,22,100,3,100,56
Version_1,23,100,3,100,57
Version_1,24,100,3,100,58
Version_1,25,100,3,100,59
Version_1,26,13,3,10,21
Version_1,27,14,3,0,24
Version_1,28,12,3,0,19
Version_1,29,9,3,0,15
Version_1,30,16,3,10,25
Version_1,31,33,3,60,37
Version_1,32,22,3,10,33
Version_1,33,100,3,100,60
Version_1,34,11,3,10,17
Version_1,35,88,3,80,47
Version_1,36,100,3,100,61
Version_1,37,50,3,60,43
Version_1,38,100,3,100,62
Version_1,39,8,3,10,10
Version_1,40,37,3,20,39
Version_1,41,17,3,10,27
Version_1,42,4,3,0,2
Version_1,43,8,3,0,11
Version_1,44,34,3,20,38
Version_1,45,77,3,70,45
Version_1,46,77,3,70,46
Version_1,47,100,3,100,63
Version_1,48,100,3,100,64
Version_1,49,100,3,100,65
Version_1,50,100,3,100,66
Version_1,51,7,3,0,7
Version_1,52,7,3,0,8
Version_1,53,4,3,0,3
Version_1,54,17,3,10,28
Version_1,55,100,3,100,67
Version_1,56,97,3,90,48
Version_1,57,17,3,50,29
Version_1,58,100,3,100,68
Version_1,59,100,3,90,69
Version_1,61,6,3,0,5
Version_1,62,20,3,10,31
Version_1,63,13,3,10,22
Version_1,64,19,3,10,30
Version_1,65,100,3,100,70
Version_1,66,100,3,100,71
Version_1,67,100,3,100,72
Version_1,68,100,3,100,73
Version_1,69,100,3,100,74
Version_1,70,100,3,100,75
Version_1,71,56,3,30,44
Version_1,72,20,3,10,32
Version_1,73,97,3,90,49
Version_1,74,5,3,0,4
Version_1,75,39,3,30,40
Version_1,1,9,4,10,12
Version_1,2,8,4,5,9
Version_1,3,9,4,0,13
Version_1,4,17,4,35,26
Version_1,5,12,4,30,18
Version_1,6,44,4,35,42
Version_1,7,23,4,30,34
Version_1,8,13,4,20,20
Version_1,9,14,4,0,23
Version_1,10,28,4,5,35
Version_1,11,42,4,15,41
Version_1,12,9,4,5,14
Version_1,13,7,4,0,6
Version_1,14,10,4,20,16
Version_1,15,33,4,50,36
Version_1,16,100,4,100,50
Version_1,17,100,4,100,51
Version_1,18,100,4,100,52
Version_1,19,100,4,100,53
Version_1,20,100,4,100,54
Version_1,21,100,4,100,55
Version_1,22,100,4,100,56
Version_1,23,100,4,100,57
Version_1,24,100,4,100,58
Version_1,25,100,4,100,59
Version_1,26,13,4,45,21
Version_1,27,14,4,15,24
Version_1,28,12,4,10,19
Version_1,29,9,4,0,15
Version_1,30,16,4,45,25
Version_1,31,33,4,65,37
Version_1,32,22,4,55,33
Version_1,33,100,4,90,60
Version_1,34,11,4,30,17
Version_1,35,88,4,85,47
Version_1,36,100,4,100,61
Version_1,37,50,4,75,43
Version_1,38,100,4,100,62
Version_1,39,8,4,30,10
Version_1,40,37,4,65,39
Version_1,41,17,4,40,27
Version_1,42,4,4,0,2
Version_1,43,8,4,10,11
Version_1,44,34,4,55,38
Version_1,45,77,4,70,45
Version_1,46,77,4,75,46
Version_1,47,100,4,100,63
Version_1,48,100,4,100,64
Version_1,49,100,4,100,65
Version_1,50,100,4,100,66
Version_1,51,7,4,30,7
Version_1,52,7,4,10,8
Version_1,53,4,4,10,3
Version_1,54,17,4,50,28
Version_1,55,100,4,100,67
Version_1,56,97,4,95,48
Version_1,57,17,4,45,29
Version_1,58,100,4,100,68
Version_1,59,100,4,100,69
Version_1,60,3,4,5,1
Version_1,61,6,4,15,5
Version_1,62,20,4,40,31
Version_1,63,13,4,10,22
Version_1,64,19,4,45,30
Version_1,65,100,4,100,70
Version_1,66,100,4,100,71
Version_1,67,100,4,100,72
Version_1,68,100,4,100,73
Version_1,69,100,4,100,74
Version_1,70,100,4,100,75
Version_1,71,56,4,80,44
Version_1,72,20,4,65,32
Version_1,73,97,4,95,49
Version_1,74,5,4,10,4
Version_1,75,39,4,55,40
Version_1,1,9,5,0,12
Version_1,2,8,5,0,9
Version_1,3,9,5,0,13
Version_1,4,17,5,0,26
Version_1,5,12,5,0,18
Version_1,6,44,5,0,42
Version_1,7,23,5,5,34
Version_1,8,13,5,0,20
Version_1,9,14,5,0,23
Version_1,10,28,5,5,35
Version_1,11,42,5,10,41
Version_1,12,9,5,0,14
Version_1,13,7,5,0,6
Version_1,14,10,5,10,16
Version_1,15,33,5,15,36
Version_1,16,100,5,100,50
Version_1,17,100,5,100,51
Version_1,18,100,5,100,52
Version_1,19,100,5,100,53
Version_1,20,100,5,100,54
Version_1,21,100,5,100,55
Version_1,22,100,5,100,56
Version_1,23,100,5,100,57
Version_1,24,100,5,100,58
Version_1,25,100,5,100,59
Version_1,26,13,5,5,21
Version_1,27,14,5,0,24
Version_1,28,12,5,0,19
Version_1,29,9,5,0,15
Version_1,30,16,5,0,25
Version_1,31,33,5,60,37
Version_1,32,22,5,40,33
Version_1,33,100,5,90,60
Version_1,34,11,5,15,17
Version_1,35,88,5,85,47
Version_1,36,100,5,100,61
Version_1,37,50,5,75,43
Version_1,38,100,5,100,62
Version_1,39,8,5,15,10
Version_1,40,37,5,50,39
Version_1,41,17,5,20,27
Version_1,42,4,5,0,2
Version_1,43,8,5,10,11
Version_1,44,34,5,25,38
Version_1,45,77,5,75,45
Version_1,46,77,5,75,46
Version_1,47,100,5,85,63
Version_1,48,100,5,100,64
Version_1,49,100,5,90,65
Version_1,50,100,5,100,66
Version_1,51,7,5,0,7
Version_1,52,7,5,0,8
Version_1,53,4,5,0,3
Version_1,54,17,5,35,28
Version_1,55,100,5,100,67
Version_1,56,97,5,85,48
Version_1,57,17,5,20,29
Version_1,58,100,5,100,68
Version_1,59,100,5,100,69
Version_1,60,3,5,0,1
Version_1,61,6,5,0,5
Version_1,62,20,5,15,31
Version_1,63,13,5,0,22
Version_1,64,19,5,20,30
Version_1,65,100,5,100,70
Version_1,66,100,5,100,71
Version_1,67,100,5,100,72
Version_1,68,100,5,100,73
Version_1,69,100,5,100,74
Version_1,70,100,5,100,75
Version_1,71,56,5,25,44
Version_1,72,20,5,10,32
Version_1,73,97,5,90,49
Version_1,74,5,5,0,4
Version_1,75,39,5,30,40
Version_1,1,9,6,0,12
Version_1,2,8,6,0,9
Version_1,3,9,6,0,13
Version_1,4,17,6,30,26
Version_1,5,12,6,10,18
Version_1,6,44,6,10,42
Version_1,7,23,6,40,34
Version_1,8,13,6,10,20
Version_1,9,14,6,0,23
Version_1,10,28,6,0,35
Version_1,11,42,6,10,41
Version_1,12,9,6,0,14
Version_1,13,7,6,0,6
Version_1,14,10,6,10,16
Version_1,15,33,6,10,36
Version_1,16,100,6,100,50
Version_1,17,100,6,80,51
Version_1,18,100,6,100,52
Version_1,19,100,6,90,53
Version_1,20,100,6,100,54
Version_1,21,100,6,100,55
Version_1,22,100,6,90,56
Version_1,23,100,6,90,57
Version_1,24,100,6,90,58
Version_1,25,100,6,100,59
Version_1,26,13,6,30,21
Version_1,27,14,6,10,24
Version_1,28,12,6,10,19
Version_1,29,9,6,0,15
Version_1,30,16,6,10,25
Version_1,31,33,6,60,37
Version_1,32,22,6,40,33
Version_1,33,100,6,80,60
Version_1,34,11,6,10,17
Version_1,35,88,6,70,47
Version_1,36,100,6,100,61
Version_1,37,50,6,50,43
Version_1,38,100,6,90,62
Version_1,39,8,6,30,10
Version_1,40,37,6,50,39
Version_1,41,17,6,50,27
Version_1,42,4,6,0,2
Version_1,43,8,6,10,11
Version_1,44,34,6,50,38
Version_1,45,77,6,70,45
Version_1,46,77,6,70,46
Version_1,47,100,6,90,63
Version_1,48,100,6,100,64
Version_1,49,100,6,90,65
Version_1,50,100,6,90,66
Version_1,51,7,6,10,7
Version_1,52,7,6,10,8
Version_1,53,4,6,10,3
Version_1,54,17,6,10,28
Version_1,55,100,6,100,67
Version_1,56,97,6,90,48
Version_1,57,17,6,40,29
Version_1,58,100,6,100,68
Version_1,59,100,6,80,69
Version_1,60,3,6,0,1
Version_1,61,6,6,10,5
Version_1,62,20,6,30,31
Version_1,63,13,6,10,22
Version_1,64,19,6,10,30
Version_1,65,100,6,80,70
Version_1,66,100,6,80,71
Version_1,67,100,6,90,72
Version_1,68,100,6,90,73
Version_1,69,100,6,90,74
Version_1,70,100,6,90,75
Version_1,71,56,6,70,44
Version_1,72,20,6,30,32
Version_1,73,97,6,80,49
Version_1,74,5,6,10,4
Version_1,75,39,6,50,40
Version_1,1,9,7,0,12
Version_1,2,8,7,0,9
Version_1,3,9,7,0,13
Version_1,4,17,7,10,26
Version_1,5,12,7,20,18
Version_1,6,44,7,10,42
Version_1,7,23,7,20,34
Version_1,8,13,7,10,20
Version_1,9,14,7,0,23
Version_1,10,28,7,0,35
Version_1,11,42,7,0,41
Version_1,12,9,7,0,14
Version_1,13,7,7,0,6
Version_1,14,10,7,10,16
Version_1,15,33,7,20,36
Version_1,16,100,7,100,50
Version_1,17,100,7,100,51
Version_1,18,100,7,90,52
Version_1,19,100,7,100,53
Version_1,20,100,7,100,54
Version_1,21,100,7,100,55
Version_1,22,100,7,90,56
Version_1,23,100,7,100,57
Version_1,24,100,7,90,58
Version_1,25,100,7,100,59
Version_1,26,13,7,10,21
Version_1,27,14,7,10,24
Version_1,28,12,7,0,19
Version_1,29,9,7,0,15
Version_1,30,16,7,10,25
Version_1,31,33,7,80,37
Version_1,32,22,7,40,33
Version_1,33,100,7,90,60
Version_1,34,11,7,20,17
Version_1,35,88,7,80,47
Version_1,36,100,7,100,61
Version_1,37,50,7,80,43
Version_1,38,100,7,100,62
Version_1,39,8,7,40,10
Version_1,40,37,7,50,39
Version_1,41,17,7,40,27
Version_1,42,4,7,0,2
Version_1,43,8,7,0,11
Version_1,44,34,7,10,38
Version_1,45,77,7,70,45
Version_1,46,77,7,70,46
Version_1,47,100,7,90,63
Version_1,48,100,7,100,64
Version_1,49,100,7,100,65
Version_1,50,100,7,100,66
Version_1,51,7,7,10,7
Version_1,52,7,7,0,8
Version_1,53,4,7,0,3
Version_1,54,17,7,20,28
Version_1,55,100,7,100,67
Version_1,56,97,7,90,48
Version_1,57,17,7,40,29
Version_1,58,100,7,100,68
Version_1,59,100,7,100,69
Version_1,60,3,7,0,1
Version_1,61,6,7,10,5
Version_1,62,20,7,20,31
Version_1,63,13,7,10,22
Version_1,64,19,7,40,30
Version_1,65,100,7,100,70
Version_1,66,100,7,100,71
Version_1,67,100,7,100,72
Version_1,68,100,7,90,73
Version_1,69,100,7,90,74
Version_1,70,100,7,100,75
Version_1,71,56,7,70,44
Version_1,72,20,7,30,32
Version_1,73,97,7,90,49
Version_1,74,5,7,10,4
Version_1,75,39,7,40,40
Version_1,1,9,8,0,12
Version_1,2,8,8,0,9
Version_1,3,9,8,0,13
Version_1,4,17,8,10,26
Version_1,5,12,8,5,18
Version_1,6,44,8,5,42
Version_1,7,23,8,0,34
Version_1,8,13,8,5,20
Version_1,9,14,8,0,23
Version_1,10,28,8,0,35
Version_1,11,42,8,0,41
Version_1,12,9,8,0,14
Version_1,13,7,8,0,6
Version_1,14,10,8,10,16
Version_1,15,33,8,50,36
Version_1,16,100,8,95,50
Version_1,17,100,8,90,51
Version_1,18,100,8,95,52
Version_1,19,100,8,95,53
Version_1,20,100,8,100,54
Version_1,21,100,8,100,55
Version_1,22,100,8,100,56
Version_1,23,100,8,100,57
Version_1,24,100,8,100,58
Version_1,25,100,8,100,59
Version_1,26,13,8,10,21
Version_1,27,14,8,5,24
Version_1,28,12,8,0,19
Version_1,29,9,8,0,15
Version_1,30,16,8,20,25
Version_1,31,33,8,65,37
Version_1,32,22,8,50,33
Version_1,33,100,8,85,60
Version_1,34,11,8,15,17
Version_1,35,88,8,75,47
Version_1,36,100,8,100,61
Version_1,37,50,8,70,43
Version_1,38,100,8,100,62
Version_1,39,8,8,35,10
Version_1,40,37,8,45,39
Version_1,41,17,8,45,27
Version_1,42,4,8,0,2
Version_1,43,8,8,5,11
Version_1,44,34,8,10,38
Version_1,45,77,8,50,45
Version_1,46,77,8,50,46
Version_1,47,100,8,90,63
Version_1,48,100,8,100,64
Version_1,49,100,8,95,65
Version_1,50,100,8,95,66
Version_1,51,7,8,5,7
Version_1,52,7,8,0,8
Version_1,53,4,8,5,3
Version_1,54,17,8,40,28
Version_1,55,100,8,100,67
Version_1,56,97,8,95,48
Version_1,57,17,8,55,29
Version_1,58,100,8,95,68
Version_1,59,100,8,90,69
Version_1,60,3,8,0,1
Version_1,61,6,8,10,5
Version_1,62,20,8,40,31
Version_1,63,13,8,10,22
Version_1,64,19,8,35,30
Version_1,65,100,8,95,70
Version_1,66,100,8,95,71
Version_1,67,100,8,95,72
Version_1,68,100,8,100,73
Version_1,69,100,8,100,74
Version_1,70,100,8,100,75
Version_1,71,56,8,60,44
Version_1,72,20,8,30,32
Version_1,73,97,8,80,49
Version_1,74,5,8,5,4
Version_1,75,39,8,50,40
Version_1,1,9,9,0,12
Version_1,2,8,9,0,9
Version_1,3,9,9,10,13
Version_1,4,17,9,20,26
Version_1,5,12,9,10,18
Version_1,6,44,9,10,42
Version_1,7,23,9,10,34
Version_1,8,13,9,0,20
Version_1,9,14,9,0,23
Version_1,10,28,9,0,35
Version_1,11,42,9,10,41
Version_1,12,9,9,0,14
Version_1,13,7,9,0,6
Version_1,14,10,9,5,16
Version_1,15,33,9,25,36
Version_1,16,100,9,100,50
Version_1,17,100,9,90,51
Version_1,18,100,9,100,52
Version_1,19,100,9,90,53
Version_1,20,100,9,100,54
Version_1,21,100,9,100,55
Version_1,22,100,9,100,56
Version_1,23,100,9,90,57
Version_1,24,100,9,90,58
Version_1,25,100,9,100,59
Version_1,26,13,9,30,21
Version_1,27,14,9,5,24
Version_1,28,12,9,5,19
Version_1,29,9,9,5,15
Version_1,30,16,9,5,25
Version_1,31,33,9,75,37
Version_1,32,22,9,35,33
Version_1,33,100,9,85,60
Version_1,34,11,9,0,17
Version_1,35,88,9,75,47
Version_1,36,100,9,100,61
Version_1,37,50,9,55,43
Version_1,38,100,9,90,62
Version_1,39,8,9,5,10
Version_1,40,37,9,35,39
Version_1,41,17,9,25,27
Version_1,42,4,9,0,2
Version_1,43,8,9,5,11
Version_1,44,34,9,45,38
Version_1,45,77,9,65,45
Version_1,46,77,9,60,46
Version_1,47,100,9,90,63
Version_1,48,100,9,100,64
Version_1,49,100,9,90,65
Version_1,50,100,9,95,66
Version_1,51,7,9,10,7
Version_1,52,7,9,5,8
Version_1,53,4,9,5,3
Version_1,54,17,9,15,28
Version_1,55,100,9,100,67
Version_1,56,97,9,90,48
Version_1,57,17,9,40,29
Version_1,58,100,9,100,68
Version_1,59,100,9,85,69
Version_1,60,3,9,5,1
Version_1,61,6,9,5,5
Version_1,62,20,9,20,31
Version_1,63,13,9,5,22
Version_1,64,19,9,10,30
Version_1,65,100,9,90,70
Version_1,66,100,9,90,71
Version_1,67,100,9,95,72
Version_1,68,100,9,100,73
Version_1,69,100,9,95,74
Version_1,70,100,9,95,75
Version_1,71,56,9,45,44
Version_1,72,20,9,15,32
Version_1,73,97,9,85,49
Version_1,74,5,9,5,4
Version_1,75,39,9,45,40
Version_1,1,9,10,0,12
Version_1,2,8,10,0,9
Version_1,3,9,10,0,13
Version_1,4,17,10,10,26
Version_1,5,12,10,10,18
Version_1,6,44,10,10,42
Version_1,7,23,10,30,34
Version_1,8,13,10,0,20
Version_1,9,14,10,10,23
Version_1,10,28,10,0,35
Version_1,11,42,10,10,41
Version_1,12,9,10,0,14
Version_1,13,7,10,0,6
Version_1,14,10,10,30,16
Version_1,15,33,10,40,36
Version_1,16,100,10,100,50
Version_1,17,100,10,90,51
Version_1,18,100,10,100,52
Version_1,19,100,10,90,53
Version_1,20,100,10,100,54
Version_1,21,100,10,100,55
Version_1,22,100,10,100,56
Version_1,23,100,10,100,57
Version_1,24,100,10,100,58
Version_1,25,100,10,100,59
Version_1,26,13,10,10,21
Version_1,27,14,10,0,24
Version_1,28,12,10,10,19
Version_1,29,9,10,0,15
Version_1,30,16,10,30,25
Version_1,31,33,10,70,37
Version_1,32,22,10,70,33
Version_1,33,100,10,80,60
Version_1,34,11,10,10,17
Version_1,35,88,10,80,47
Version_1,36,100,10,100,61
Version_1,37,50,10,70,43
Version_1,38,100,10,90,62
Version_1,39,8,10,10,10
Version_1,40,37,10,50,39
Version_1,41,17,10,40,27
Version_1,42,4,10,0,2
Version_1,43,8,10,0,11
Version_1,44,34,10,40,38
Version_1,45,77,10,70,45
Version_1,46,77,10,70,46
Version_1,47,100,10,90,63
Version_1,48,100,10,100,64
Version_1,49,100,10,90,65
Version_1,50,100,10,90,66
Version_1,51,7,10,0,7
Version_1,52,7,10,0,8
Version_1,53,4,10,0,3
Version_1,54,17,10,30,28
Version_1,55,100,10,100,67
Version_1,56,97,10,90,48
Version_1,57,17,10,30,29
Version_1,58,100,10,100,68
Version_1,59,100,10,80,69
Version_1,60,3,10,0,1
Version_1,61,6,10,10,5
Version_1,62,20,10,10,31
Version_1,63,13,10,10,22
Version_1,64,19,10,10,30
Version_1,65,100,10,90,70
Version_1,66,100,10,90,71
Version_1,67,100,10,90,72
Version_1,68,100,10,100,73
Version_1,69,100,10,90,74
Version_1,70,100,10,90,75
Version_1,71,56,10,50,44
Version_1,72,20,10,40,32
Version_1,73,97,10,80,49
Version_1,74,5,10,0,4
Version_1,75,39,10,40,40
Version_1,1,9,11,0,12
Version_1,2,8,11,0,9
Version_1,3,9,11,0,13
Version_1,4,17,11,30,26
Version_1,5,12,11,0,18
Version_1,6,44,11,10,42
Version_1,7,23,11,10,34
Version_1,8,13,11,10,20
Version_1,9,14,11,0,23
Version_1,10,28,11,0,35
Version_1,11,42,11,10,41
Version_1,12,9,11,0,14
Version_1,13,7,11,0,6
Version_1,14,10,11,10,16
Version_1,15,33,11,60,36
Version_1,16,100,11,100,50
Version_1,17,100,11,100,51
Version_1,18,100,11,100,52
Version_1,19,100,11,100,53
Version_1,20,100,11,100,54
Version_1,21,100,11,100,55
Version_1,22,100,11,100,56
Version_1,23,100,11,100,57
Version_1,24,100,11,100,58
Version_1,25,100,11,100,59
Version_1,26,13,11,40,21
Version_1,27,14,11,10,24
Version_1,28,12,11,0,19
Version_1,29,9,11,0,15
Version_1,30,16,11,10,25
Version_1,31,33,11,70,37
Version_1,32,22,11,40,33
Version_1,33,100,11,100,60
Version_1,34,11,11,10,17
Version_1,35,88,11,90,47
Version_1,36,100,11,100,61
Version_1,37,50,11,90,43
Version_1,38,100,11,100,62
Version_1,39,8,11,30,10
Version_1,40,37,11,50,39
Version_1,41,17,11,30,27
Version_1,42,4,11,0,2
Version_1,43,8,11,10,11
Version_1,44,34,11,60,38
Version_1,45,77,11,90,45
Version_1,46,77,11,60,46
Version_1,47,100,11,100,63
Version_1,48,100,11,100,64
Version_1,49,100,11,100,65
Version_1,50,100,11,100,66
Version_1,51,7,11,10,7
Version_1,52,7,11,0,8
Version_1,53,4,11,10,3
Version_1,54,17,11,30,28
Version_1,55,100,11,100,67
Version_1,56,97,11,100,48
Version_1,57,17,11,50,29
Version_1,58,100,11,100,68
Version_1,59,100,11,90,69
Version_1,60,3,11,0,1
Version_1,61,6,11,10,5
Version_1,62,20,11,30,31
Version_1,63,13,11,0,22
Version_1,64,19,11,30,30
Version_1,65,100,11,100,70
Version_1,66,100,11,100,71
Version_1,67,100,11,100,72
Version_1,68,100,11,100,73
Version_1,69,100,11,100,74
Version_1,70,100,11,100,75
Version_1,71,56,11,30,44
Version_1,72,20,11,10,32
Version_1,73,97,11,90,49
Version_1,74,5,11,0,4
Version_1,75,39,11,50,40
Version_1,1,9,12,0,12
Version_1,2,8,12,0,9
Version_1,3,9,12,0,13
Version_1,4,17,12,0,26
Version_1,5,12,12,0,18
Version_1,6,44,12,0,42
Version_1,7,23,12,0,34
Version_1,8,13,12,0,20
Version_1,9,14,12,0,23
Version_1,10,28,12,0,35
Version_1,11,42,12,5,41
Version_1,12,9,12,5,14
Version_1,13,7,12,5,6
Version_1,14,10,12,0,16
Version_1,15,33,12,10,36
Version_1,16,100,12,100,50
Version_1,17,100,12,100,51
Version_1,18,100,12,100,52
Version_1,19,100,12,100,53
Version_1,20,100,12,100,54
Version_1,21,100,12,100,55
Version_1,22,100,12,100,56
Version_1,23,100,12,100,57
Version_1,24,100,12,100,58
Version_1,25,100,12,100,59
Version_1,26,13,12,10,21
Version_1,27,14,12,0,24
Version_1,28,12,12,0,19
Version_1,29,9,12,0,15
Version_1,30,16,12,0,25
Version_1,31,33,12,80,37
Version_1,32,22,12,40,33
Version_1,33,100,12,90,60
Version_1,34,11,12,10,17
Version_1,35,88,12,80,47
Version_1,36,100,12,100,61
Version_1,37,50,12,70,43
Version_1,38,100,12,100,62
Version_1,39,8,12,10,10
Version_1,40,37,12,30,39
Version_1,41,17,12,30,27
Version_1,42,4,12,0,2
Version_1,43,8,12,0,11
Version_1,44,34,12,40,38
Version_1,45,77,12,70,45
Version_1,46,77,12,75,46
Version_1,47,100,12,90,63
Version_1,48,100,12,100,64
Version_1,49,100,12,90,65
Version_1,50,100,12,100,66
Version_1,51,7,12,0,7
Version_1,52,7,12,0,8
Version_1,53,4,12,0,3
Version_1,54,17,12,40,28
Version_1,55,100,12,100,67
Version_1,56,97,12,85,48
Version_1,57,17,12,5,29
Version_1,58,100,12,100,68
Version_1,59,100,12,90,69
Version_1,60,3,12,0,1
Version_1,61,6,12,0,5
Version_1,62,20,12,10,31
Version_1,63,13,12,5,22
Version_1,64,19,12,10,30
Version_1,65,100,12,100,70
Version_1,66,100,12,100,71
Version_1,67,100,12,100,72
Version_1,68,100,12,100,73
Version_1,69,100,12,95,74
Version_1,70,100,12,100,75
Version_1,71,56,12,60,44
Version_1,72,20,12,5,32
Version_1,73,97,12,80,49
Version_1,74,5,12,0,4
Version_1,75,39,12,50,40
Version_2,1,0,1,0,1
Version_2,2,20,1,30,22
