method,plant_id,order_id,actual,estimate,rater
C2,1,1,0,25.14,1.00
C2,2,22,20,65.69,1
C2,3,7,3.333333333,12.38,1
C2,4,8,3.333333333,21.17,1.00
C2,5,18,16.66666667,15.69,1
C2,6,9,3.333333333,17.46,1
C2,7,36,36.66666667,46.02,1.00
C2,8,23,20,45.41,1
C2,9,35,33.33333333,47.61,1
C2,10,31,30,24.06,1.00
C2,11,56,60,57.39,1
C2,12,43,40,55.85,1
C2,13,66,83.33333333,98.00,1.00
C2,14,14,10,35.55,1
C2,15,12,6.666666667,23.51,1
C2,16,32,30,40.11,1.00
C2,17,49,50,85.55,1
C2,18,50,50,88.05,1
C2,19,45,43.33333333,33.10,1.00
C2,20,19,16.66666667,32.74,1
C2,21,2,0,44.33,1
C2,22,68,86.66666667,97.97,1.00
C2,23,48,46.66666667,59.21,1
C2,24,26,23.33333333,39.76,1
C2,25,15,13.33333333,40.87,1.00
C2,26,71,90,99.63,1
C2,27,27,23.33333333,23.97,1
C2,28,37,36.66666667,57.02,1.00
C2,29,28,23.33333333,19.68,1
C2,30,59,63.33333333,85.78,1
C2,31,10,3.333333333,14.97,1.00
C2,32,77,100,99.72,1
C2,33,33,30,24.42,1
C2,34,67,83.33333333,99.14,1.00
C2,35,64,80,96.48,1
C2,36,16,13.33333333,30.21,1
C2,37,65,80,96.36,1.00
C2,38,13,6.666666667,40.41,1
C2,39,38,36.66666667,65.44,1
C2,40,69,86.66666667,98.45,1.00
C2,41,34,30,48.16,1
C2,42,60,70,98.89,1
C2,43,3,0,38.65,1.00
C2,44,46,43.33333333,59.87,1
C2,45,62,73.33333333,92.88,1
C2,46,72,90,99.86,1.00
C2,47,51,50,76.39,1
C2,48,11,3.333333333,20.71,1
C2,49,4,0,23.49,1.00
C2,50,44,40,60.43,1
C2,51,5,0,30.67,1
C2,52,17,13.33333333,26.30,1.00
C2,53,24,20,10.84,1
C2,54,20,16.66666667,11.74,1
C2,55,52,53.33333333,45.29,1.00
C2,56,39,36.66666667,24.75,1
C2,57,21,16.66666667,9.58,1
C2,58,29,23.33333333,29.30,1.00
C2,59,73,90,98.92,1
C2,60,70,86.66666667,85.50,1
C2,61,53,53.33333333,47.51,1.00
C2,62,47,43.33333333,45.40,1
C2,63,40,36.66666667,31.22,1
C2,64,57,60,55.23,1.00
C2,65,25,20,22.04,1
C2,66,30,26.66666667,30.78,1
C2,67,55,56.66666667,60.90,1.00
C2,68,63,73.33333333,83.75,1
C2,69,41,36.66666667,63.89,1
C2,70,61,70,83.21,1.00
C2,71,54,53.33333333,58.23,1
C2,72,74,90,99.71,1
C2,73,78,100,99.96,1.00
C2,74,79,100,99.84,1
C2,75,42,36.66666667,56.31,1
C2,76,76,96.66666667,100.00,1.00
C2,77,80,100,100.00,1
C2,78,81,100,100.00,1
C2,79,82,100,100.00,1.00
C2,80,83,100,99.99,1
C2,81,84,100,100.00,1
C2,82,85,100,99.98,1.00
C2,83,86,100,99.98,1
C2,84,87,100,99.99,1
C2,85,58,60,70.97,1.00
C2,86,88,100,99.99,1
C2,87,75,90,99.94,1
C2,88,89,100,99.98,1.00
C2,89,90,100,100.00,1
C2,90,6,0,14.14,1
NoWeight,1,1,0,14.661937,1.00
NoWeight,2,22,20,49.158618,1
NoWeight,3,7,3.333333333,6.744919,1
NoWeight,4,8,3.333333333,12.205390,1.00
NoWeight,5,18,16.66666667,8.726530,1
NoWeight,6,9,3.333333333,9.733630,1
NoWeight,7,36,36.66666667,32.507556,1.00
NoWeight,8,23,20,32.542030,1
NoWeight,9,35,33.33333333,31.918745,1
NoWeight,10,31,30,13.728864,1.00
NoWeight,11,56,60,41.269727,1
NoWeight,12,43,40,39.072011,1
NoWeight,13,66,83.33333333,96.409787,1.00
NoWeight,14,14,10,22.021780,1
NoWeight,15,12,6.666666667,13.669831,1
NoWeight,16,32,30,25.264155,1.00
NoWeight,17,49,50,76.245458,1
NoWeight,18,50,50,78.985471,1
NoWeight,19,45,43.33333333,23.325012,1.00
NoWeight,20,19,16.66666667,20.160653,1
NoWeight,21,2,0,31.861391,1
NoWeight,22,68,86.66666667,96.789586,1.00
NoWeight,23,48,46.66666667,45.815811,1
NoWeight,24,26,23.33333333,25.548063,1
NoWeight,25,15,13.33333333,29.614669,1.00
NoWeight,26,71,90,99.457050,1
NoWeight,27,27,23.33333333,13.785571,1
NoWeight,28,37,36.66666667,40.376122,1.00
NoWeight,29,28,23.33333333,11.443239,1
NoWeight,30,59,63.33333333,76.919585,1
NoWeight,31,10,3.333333333,8.201660,1.00
NoWeight,32,77,100,99.677304,1
NoWeight,33,33,30,14.032621,1
NoWeight,34,67,83.33333333,98.650978,1.00
NoWeight,35,64,80,94.389157,1
NoWeight,36,16,13.33333333,18.012660,1
NoWeight,37,65,80,93.679092,1.00
NoWeight,38,13,6.666666667,25.361225,1
NoWeight,39,38,36.66666667,48.699110,1
NoWeight,40,69,86.66666667,97.774587,1.00
NoWeight,41,34,30,31.767278,1
NoWeight,42,60,70,98.522928,1
NoWeight,43,3,0,24.783457,1.00
NoWeight,44,46,43.33333333,43.340189,1
NoWeight,45,62,73.33333333,88.840051,1
NoWeight,46,72,90,99.843779,1.00
NoWeight,47,51,50,63.000958,1
NoWeight,48,11,3.333333333,11.739873,1
NoWeight,49,4,0,13.480563,1.00
NoWeight,50,44,40,43.937752,1
NoWeight,51,5,0,18.268463,1
NoWeight,52,17,13.33333333,16.181143,1.00
NoWeight,53,24,20,5.793182,1
NoWeight,54,20,16.66666667,7.427057,1
NoWeight,55,52,53.33333333,29.885636,1.00
NoWeight,56,39,36.66666667,16.132596,1
NoWeight,57,21,16.66666667,5.742161,1
NoWeight,58,29,23.33333333,17.576151,1.00
NoWeight,59,73,90,98.604382,1
NoWeight,60,70,86.66666667,78.643053,1
NoWeight,61,53,53.33333333,34.024130,1.00
NoWeight,62,47,43.33333333,29.635441,1
NoWeight,63,40,36.66666667,19.033549,1
NoWeight,64,57,60,41.730874,1.00
NoWeight,65,25,20,13.602934,1
NoWeight,66,30,26.66666667,19.754621,1
NoWeight,67,55,56.66666667,46.245001,1.00
NoWeight,68,63,73.33333333,72.603145,1
NoWeight,69,41,36.66666667,47.207352,1
NoWeight,70,61,70,72.454617,1.00
NoWeight,71,54,53.33333333,42.562642,1
NoWeight,72,74,90,99.664912,1
NoWeight,73,78,100,99.961076,1.00
NoWeight,74,79,100,99.827540,1
NoWeight,75,42,36.66666667,41.071623,1
NoWeight,76,76,96.66666667,99.999671,1.00
NoWeight,77,80,100,99.997047,1
NoWeight,78,81,100,99.998988,1
NoWeight,79,82,100,99.998938,1.00
NoWeight,80,83,100,99.991675,1
NoWeight,81,84,100,99.999487,1
NoWeight,82,85,100,99.980751,1.00
NoWeight,83,86,100,99.984173,1
NoWeight,84,87,100,99.993524,1
NoWeight,85,58,60,57.366771,1.00
NoWeight,86,88,100,99.990872,1
NoWeight,87,75,90,99.937230,1
NoWeight,88,89,100,99.983420,1.00
NoWeight,89,90,100,99.996859,1
NoWeight,90,6,0,7.829464,1
C5,1,1,0,45.30120744,1.00
C5,2,22,20,82.63536383,1
C5,3,7,3.333333333,25.83098137,1
C5,4,8,3.333333333,39.66652631,1.00
C5,5,18,16.66666667,31.39835369,1
C5,6,9,3.333333333,34.31263345,1
C5,7,36,36.66666667,66.27790475,1.00
C5,8,23,20,65.28133615,1
C5,9,35,33.33333333,69.03030182,1
C5,10,31,30,44.13368751,1.00
C5,11,56,60,76.63587074,1
C5,12,43,40,75.8275777,1
C5,13,66,83.33333333,99.13784036,1.00
C5,14,14,10,57.61405195,1
C5,15,12,6.666666667,43.00412999,1
C5,16,32,30,62.47297639,1.00
C5,17,49,50,93.35340423,1
C5,18,50,50,94.79424277,1
C5,19,45,43.33333333,51.61660657,1.00
C5,20,19,16.66666667,54.3261052,1
C5,21,2,0,64.05311558,1
C5,22,68,86.66666667,99.0351376,1.00
C5,23,48,46.66666667,76.58436792,1
C5,24,26,23.33333333,61.69191749,1
C5,25,15,13.33333333,60.03510637,1.00
C5,26,71,90,99.81215141,1
C5,27,27,23.33333333,43.86692738,1
C5,28,37,36.66666667,76.61177446,1.00
C5,29,28,23.33333333,37.21145166,1
C5,30,59,63.33333333,93.39546796,1
C5,31,10,3.333333333,30.38299665,1.00
C5,32,77,100,99.79595262,1
C5,33,33,30,44.52760213,1
C5,34,67,83.33333333,99.590568,1.00
C5,35,64,80,98.33665582,1
C5,36,16,13.33333333,51.73671578,1
C5,37,65,80,98.39643593,1.00
C5,38,13,6.666666667,62.86633119,1
C5,39,38,36.66666667,82.54027575,1
C5,40,69,86.66666667,99.18451879,1.00
C5,41,34,30,69.87402055,1
C5,42,60,70,99.36521291,1
C5,43,3,0,60.50499664,1.00
C5,44,46,43.33333333,78.59519282,1
C5,45,62,73.33333333,96.58298423,1
C5,46,72,90,99.88993594,1.00
C5,47,51,50,88.68044697,1
C5,48,11,3.333333333,39.24443143,1
C5,49,4,0,43.19455746,1.00
C5,50,44,40,78.97539092,1
C5,51,5,0,52.35594256,1
C5,52,17,13.33333333,45.88706374,1.00
C5,53,24,20,23.19337416,1
C5,54,20,16.66666667,22.57318769,1
C5,55,52,53.33333333,67.03008207,1.00
C5,56,39,36.66666667,42.48012228,1
C5,57,21,16.66666667,19.43001108,1
C5,58,29,23.33333333,50.44531689,1.00
C5,59,73,90,99.3501354,1
C5,60,70,86.66666667,92.6135029,1
C5,61,53,53.33333333,67.46945805,1.00
C5,62,47,43.33333333,67.34470552,1
C5,63,40,36.66666667,52.61066706,1
C5,64,57,60,73.59223814,1.00
C5,65,25,20,39.70123489,1
C5,66,30,26.66666667,50.9826585,1
C5,67,55,56.66666667,78.49632864,1.00
C5,68,63,73.33333333,92.68348818,1
C5,69,41,36.66666667,81.46439273,1
C5,70,61,70,92.26931383,1.00
C5,71,54,53.33333333,77.03018994,1
C5,72,74,90,99.7961647,1
C5,73,78,100,99.96493892,1.00
C5,74,79,100,99.87373767,1
C5,75,42,36.66666667,75.39344622,1
C5,76,76,96.66666667,99.99969181,1.00
C5,77,80,100,99.9973038,1
C5,78,81,100,99.99905132,1
C5,79,82,100,99.99895563,1.00
C5,80,83,100,99.99215539,1
C5,81,84,100,99.99957097,1
C5,82,85,100,99.98456295,1.00
C5,83,86,100,99.98466482,1
C5,84,87,100,99.99432886,1
C5,85,58,60,85.16955304,1.00
C5,86,88,100,99.9922016,1
C5,87,75,90,99.95616004,1
C5,88,89,100,99.98449379,1.00
C5,89,90,100,99.99735322,1
C5,90,6,0,28.75905965,1
N2,1,1,0,15.22004821,1.00
N2,2,22,20,49.64299774,1
N2,3,7,3.333333333,7.034617296,1
N2,4,8,3.333333333,12.92505758,1.00
N2,5,18,16.66666667,9.14844686,1
N2,6,9,3.333333333,10.07452819,1
N2,7,36,36.66666667,37.19984776,1.00
N2,8,23,20,38.09339045,1
N2,9,35,33.33333333,33.22800188,1
N2,10,31,30,13.83467601,1.00
N2,11,56,60,43.21593036,1
N2,12,43,40,39.70991867,1
N2,13,66,83.33333333,96.93940893,1.00
N2,14,14,10,22.81586107,1
N2,15,12,6.666666667,14.35752134,1
N2,16,32,30,25.61831345,1.00
N2,17,49,50,78.77105033,1
N2,18,50,50,79.61057414,1
N2,19,45,43.33333333,29.46609542,1.00
N2,20,19,16.66666667,21.3094545,1
N2,21,2,0,37.75760865,1
N2,22,68,86.66666667,97.68379061,1.00
N2,23,48,46.66666667,52.0346895,1
N2,24,26,23.33333333,26.97958905,1
N2,25,15,13.33333333,36.3519407,1.00
N2,26,71,90,99.64326089,1
N2,27,27,23.33333333,14.11898603,1
N2,28,37,36.66666667,41.34009761,1.00
N2,29,28,23.33333333,12.47889608,1
N2,30,59,63.33333333,79.851892,1
N2,31,10,3.333333333,8.417951037,1.00
N2,32,77,100,99.82570192,1
N2,33,33,30,14.28061344,1
N2,34,67,83.33333333,99.04513928,1.00
N2,35,64,80,95.84561719,1
N2,36,16,13.33333333,18.45614867,1
N2,37,65,80,94.73847037,1.00
N2,38,13,6.666666667,25.44409969,1
N2,39,38,36.66666667,48.82350365,1
N2,40,69,86.66666667,98.56007519,1.00
N2,41,34,30,31.8656993,1
N2,42,60,70,99.10670478,1
N2,43,3,0,26.38245078,1.00
N2,44,46,43.33333333,44.54016671,1
N2,45,62,73.33333333,91.55765988,1
N2,46,72,90,99.91750034,1.00
N2,47,51,50,65.18918834,1
N2,48,11,3.333333333,12.11090706,1
N2,49,4,0,13.82824232,1.00
N2,50,44,40,45.18485182,1
N2,51,5,0,18.57943318,1
N2,52,17,13.33333333,18.1912683,1.00
N2,53,24,20,5.915065246,1
N2,54,20,16.66666667,9.717162381,1
N2,55,52,53.33333333,31.07136603,1.00
N2,56,39,36.66666667,19.88296223,1
N2,57,21,16.66666667,7.130529644,1
N2,58,29,23.33333333,18.38728487,1.00
N2,59,73,90,99.17864026,1
N2,60,70,86.66666667,83.74158013,1
N2,61,53,53.33333333,39.0923245,1.00
N2,62,47,43.33333333,30.17051561,1
N2,63,40,36.66666667,20.08847096,1
N2,64,57,60,47.77254419,1.00
N2,65,25,20,15.94186969,1
N2,66,30,26.66666667,22.71285194,1
N2,67,55,56.66666667,50.57005225,1.00
N2,68,63,73.33333333,73.65434751,1
N2,69,41,36.66666667,47.73159658,1
N2,70,61,70,74.58363118,1.00
N2,71,54,53.33333333,45.32310135,1
N2,72,74,90,99.8174575,1
N2,73,78,100,99.98026242,1.00
N2,74,79,100,99.90955566,1
N2,75,42,36.66666667,44.51241478,1
N2,76,76,96.66666667,99.99983384,1.00
N2,77,80,100,99.99850556,1
N2,78,81,100,99.99948987,1
N2,79,82,100,99.99946791,1.00
N2,80,83,100,99.99580548,1
N2,81,84,100,99.99973692,1
N2,82,85,100,99.99006808,1.00
N2,83,86,100,99.99205391,1
N2,84,87,100,99.99670312,1
N2,85,58,60,61.41755382,1.00
N2,86,88,100,99.99533643,1
N2,87,75,90,99.9668133,1
N2,88,89,100,99.99163702,1.00
N2,89,90,100,99.99839179,1
N2,90,6,0,8.274162385,1
N2C2,1,1,0,25.57420116,1.00
N2C2,2,22,20,65.91455309,1
N2C2,3,7,3.333333333,12.6374526,1
N2C2,4,8,3.333333333,21.75544304,1.00
N2C2,5,18,16.66666667,16.05225556,1
N2C2,6,9,3.333333333,17.74046811,1
N2C2,7,36,36.66666667,49.06521137,1.00
N2C2,8,23,20,49.10446932,1
N2C2,9,35,33.33333333,48.39152328,1
N2C2,10,31,30,24.14314835,1.00
N2C2,11,56,60,58.42685183,1
N2C2,12,43,40,56.18961087,1
N2C2,13,66,83.33333333,98.17208042,1.00
N2C2,14,14,10,36.09483514,1
N2C2,15,12,6.666666667,24.05181898,1
N2C2,16,32,30,40.3374052,1.00
N2C2,17,49,50,86.52189805,1
N2C2,18,50,50,88.25908694,1
N2C2,19,45,43.33333333,37.82689606,1.00
N2C2,20,19,16.66666667,33.55616393,1
N2C2,21,2,0,48.32557976,1
N2C2,22,68,86.66666667,98.36860577,1.00
N2C2,23,48,46.66666667,62.84066284,1
N2C2,24,26,23.33333333,40.69845826,1
N2C2,25,15,13.33333333,45.69647803,1.00
N2C2,26,71,90,99.72778601,1
N2C2,27,27,23.33333333,24.2307887,1
N2C2,28,37,36.66666667,57.5256271,1.00
N2C2,29,28,23.33333333,20.53644432,1
N2C2,30,59,63.33333333,86.95429031,1
N2C2,31,10,3.333333333,15.15995228,1.00
N2C2,32,77,100,99.83839118,1
N2C2,33,33,30,24.61159035,1
N2C2,34,67,83.33333333,99.32090854,1.00
N2C2,35,64,80,97.11360292,1
N2C2,36,16,13.33333333,30.52665693,1
N2C2,37,65,80,96.73640149,1.00
N2C2,38,13,6.666666667,40.46103595,1
N2C2,39,38,36.66666667,65.50020386,1
N2C2,40,69,86.66666667,98.87477289,1.00
N2C2,41,34,30,48.21724807,1
N2C2,42,60,70,99.25596891,1
N2C2,43,3,0,39.72234425,1.00
N2C2,44,46,43.33333333,60.47179028,1
N2C2,45,62,73.33333333,94.09026378,1
N2C2,46,72,90,99.9218284,1.00
N2C2,47,51,50,77.30133451,1
N2C2,48,11,3.333333333,21.01286235,1
N2C2,49,4,0,23.75836412,1.00
N2C2,50,44,40,61.05104675,1
N2C2,51,5,0,30.89321136,1
N2C2,52,17,13.33333333,27.85502412,1.00
N2C2,53,24,20,10.95190077,1
N2C2,54,20,16.66666667,13.82716267,1
N2C2,55,52,53.33333333,46.01838474,1.00
N2C2,56,39,36.66666667,27.78306323,1
N2C2,57,21,16.66666667,10.86068348,1
N2C2,58,29,23.33333333,29.89747692,1.00
N2C2,59,73,90,99.29728734,1
N2C2,60,70,86.66666667,88.04490454,1
N2C2,61,53,53.33333333,50.77314084,1.00
N2C2,62,47,43.33333333,45.72120177,1
N2C2,63,40,36.66666667,31.98014205,1
N2C2,64,57,60,58.88748573,1.00
N2C2,65,25,20,23.94820915,1
N2C2,66,30,26.66666667,32.99183038,1
N2C2,67,55,56.66666667,63.24318876,1.00
N2C2,68,63,73.33333333,84.12725618,1
N2C2,69,41,36.66666667,64.13722088,1
N2C2,70,61,70,84.02745954,1.00
N2C2,71,54,53.33333333,59.71079318,1
N2C2,72,74,90,99.83217489,1
N2C2,73,78,100,99.98053429,1.00
N2C2,74,79,100,99.91369575,1
N2C2,75,42,36.66666667,58.22804365,1
N2C2,76,76,96.66666667,99.99983527,1.00
N2C2,77,80,100,99.99852336,1
N2C2,78,81,100,99.99949411,1
N2C2,79,82,100,99.99946903,1.00
N2C2,80,83,100,99.99583756,1
N2C2,81,84,100,99.99974337,1
N2C2,82,85,100,99.99037466,1.00
N2C2,83,86,100,99.99208578,1
N2C2,84,87,100,99.99676165,1
N2C2,85,58,60,72.90836653,1.00
N2C2,86,88,100,99.99543582,1
N2C2,87,75,90,99.96860512,1
N2C2,88,89,100,99.9917094,1.00
N2C2,89,90,100,99.99842935,1
N2C2,90,6,0,14.52193825,1
Human,1,1,0,0,8
Human,2,22,20,22,8
Human,3,7,3.333333333,2,8
Human,4,8,3.333333333,6,8
Human,5,18,16.66666667,12,8
Human,6,9,3.333333333,3,8
Human,7,36,36.66666667,37,8
Human,8,23,20,29,8
Human,9,35,33.33333333,18,8
Human,10,31,30,12,8
Human,11,56,60,63,8
Human,12,43,40,25,8
Human,13,66,83.33333333,65,8
Human,14,14,10,47,8
Human,15,12,6.666666667,24,8
Human,16,32,30,18,8
Human,17,49,50,65,8
Human,18,50,50,54,8
Human,19,45,43.33333333,32,8
Human,20,19,16.66666667,23,8
Human,21,2,0,4,8
Human,22,68,86.66666667,86,8
Human,23,48,46.66666667,78,8
Human,24,26,23.33333333,40,8
Human,25,15,13.33333333,23,8
Human,26,71,90,85,8
Human,27,27,23.33333333,15,8
Human,28,37,36.66666667,23,8
Human,29,28,23.33333333,7,8
Human,30,59,63.33333333,73,8
Human,31,10,3.333333333,5,8
Human,32,77,100,90,8
Human,33,33,30,11,8
Human,34,67,83.33333333,86,8
Human,35,64,80,83,8
Human,36,16,13.33333333,6,8
Human,37,65,80,79,8
Human,38,13,6.666666667,9,8
Human,39,38,36.66666667,24,8
Human,41,34,30,12,8
Human,42,60,70,77,8
Human,43,3,0,12,8
Human,44,46,43.33333333,65,8
Human,45,62,73.33333333,75,8
Human,46,72,90,95,8
Human,47,51,50,55,8
Human,48,11,3.333333333,2,8
Human,49,4,0,0,8
Human,50,44,40,81,8
Human,51,5,0,45,8
Human,52,17,13.33333333,50,8
Human,53,24,20,14,8
Human,54,20,16.66666667,24,8
Human,55,52,53.33333333,54,8
Human,56,39,36.66666667,36,8
Human,57,21,16.66666667,28,8
Human,58,29,23.33333333,27,8
Human,59,73,90,97,8
Human,60,70,86.66666667,78,8
Human,61,53,53.33333333,45,8
Human,62,47,43.33333333,35,8
Human,63,40,36.66666667,36,8
Human,64,57,60,43,8
Human,65,25,20,13,8
Human,66,30,26.66666667,8,8
Human,67,55,56.66666667,56,8
Human,68,63,73.33333333,69,8
Human,69,41,36.66666667,39,8
Human,70,61,70,73,8
Human,71,54,53.33333333,60,8
Human,72,74,90,96,8
Human,73,78,100,98,8
Human,74,79,100,95,8
Human,75,42,36.66666667,48,8
Human,76,76,96.66666667,100,8
Human,77,80,100,100,8
Human,78,81,100,100,8
Human,79,82,100,100,8
Human,80,83,100,99,8
Human,81,84,100,100,8
Human,82,85,100,100,8
Human,83,86,100,100,8
Human,84,87,100,100,8
Human,85,58,60,25,8
Human,86,88,100,100,8
Human,87,75,90,87,8
Human,88,89,100,100,8
Human,89,90,100,99,8
Human,90,6,0,2,8
Human,1,1,0,5,9
Human,2,22,20,15,9
Human,3,7,3.333333333,0,9
Human,4,8,3.333333333,7,9
Human,5,18,16.66666667,30,9
Human,6,9,3.333333333,0,9
Human,7,36,36.66666667,25,9
Human,8,23,20,10,9
Human,9,35,33.33333333,15,9
Human,10,31,30,25,9
Human,11,56,60,50,9
Human,12,43,40,40,9
Human,13,66,83.33333333,80,9
Human,14,14,10,10,9
Human,15,12,6.666666667,3,9
Human,16,32,30,10,9
Human,17,49,50,43,9
Human,18,50,50,35,9
Human,19,45,43.33333333,47,9
Human,20,19,16.66666667,14,9
Human,21,2,0,0,9
Human,22,68,86.66666667,80,9
Human,23,48,46.66666667,10,9
Human,24,26,23.33333333,10,9
Human,25,15,13.33333333,15,9
Human,26,71,90,86,9
Human,27,27,23.33333333,8,9
Human,28,37,36.66666667,40,9
Human,29,28,23.33333333,2,9
Human,30,59,63.33333333,53,9
Human,31,10,3.333333333,0,9
Human,32,77,100,100,9
Human,33,33,30,6,9
Human,34,67,83.33333333,80,9
Human,35,64,80,65,9
Human,36,16,13.33333333,12,9
Human,37,65,80,80,9
Human,38,13,6.666666667,14,9
Human,39,38,36.66666667,42,9
Human,40,69,86.66666667,97,9
Human,41,34,30,40,9
Human,42,60,70,78,9
Human,43,3,0,0,9
Human,44,46,43.33333333,47,9
Human,45,62,73.33333333,65,9
Human,46,72,90,90,9
Human,47,51,50,47,9
